relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-139.33,8.2,1039,44.0,2500.0,183.33,5800.0,0
-139.33,8.95,1039,44.0,2500.0,183.33,5400.0,0
-139.33,9.7,1039,44.0,2500.0,183.33,5000.0,0
-139.33,10.45,1039,44.0,2500.0,183.33,5000.0,0
-139.33,11.2,1039,44.0,2500.0,183.33,4600.0,0
-139.33,11.95,1039,44.0,2500.0,183.33,4400.0,0
-139.33,12.7,1039,44.0,2500.0,183.33,4200.0,0
-139.33,13.45,1039,44.0,2500.0,183.33,4200.0,0
-139.33,14.2,1039,44.0,2500.0,183.33,4000.0,0
-133.47,8.2,1039,44.0,2500.0,177.47,5600.0,0
-133.47,8.95,1039,44.0,2500.0,177.47,5200.0,0
-133.47,9.7,1039,44.0,2500.0,177.47,5000.0,0
-133.47,10.45,1039,44.0,2500.0,177.47,4600.0,0
-133.47,11.2,1039,44.0,2500.0,177.47,4600.0,0
-133.47,11.95,1039,44.0,2500.0,177.47,4400.0,0
-133.47,12.7,1039,44.0,2500.0,177.47,4200.0,0
-133.47,13.45,1039,44.0,2500.0,177.47,4000.0,0
-133.47,14.2,1039,44.0,2500.0,177.47,4000.0,0
-132.0,8.2,1039,51.33,2500.0,183.33,5600.0,0
-132.0,8.95,1039,51.33,2500.0,183.33,5200.0,0
-132.0,9.7,1039,51.33,2500.0,183.33,4800.0,0
-132.0,10.45,1039,51.33,2500.0,183.33,4800.0,0
-132.0,11.2,1039,51.33,2500.0,183.33,4400.0,0
-132.0,11.95,1039,51.33,2500.0,183.33,4400.0,0
-132.0,12.7,1039,51.33,2500.0,183.33,4200.0,0
-132.0,13.45,1039,51.33,2500.0,183.33,4000.0,0
-132.0,14.2,1039,51.33,2500.0,183.33,4000.0,0
-127.6,8.2,1039,44.0,2500.0,171.6,5400.0,0
-127.6,8.95,1039,44.0,2500.0,171.6,5200.0,0
-127.6,9.7,1039,44.0,2500.0,171.6,4800.0,0
-127.6,10.45,1039,44.0,2500.0,171.6,4600.0,0
-127.6,11.2,1039,44.0,2500.0,171.6,4400.0,0
-127.6,11.95,1039,44.0,2500.0,171.6,4200.0,0
-127.6,12.7,1039,44.0,2500.0,171.6,4200.0,0
-127.6,13.45,1039,44.0,2500.0,171.6,4000.0,0
-127.6,14.2,1039,44.0,2500.0,171.6,4000.0,0
-126.14,8.2,1039,51.33,2500.0,177.47,5400.0,0
-126.14,8.95,1039,51.33,2500.0,177.47,5000.0,0
-126.14,9.7,1039,51.33,2500.0,177.47,4800.0,0
-126.14,10.45,1039,51.33,2500.0,177.47,4600.0,0
-126.14,11.2,1039,51.33,2500.0,177.47,4400.0,0
-126.14,11.95,1039,51.33,2500.0,177.47,4000.0,0
-126.14,12.7,1039,51.33,2500.0,177.47,4000.0,0
-126.14,13.45,1039,51.33,2500.0,177.47,4000.0,0
-126.14,14.2,1039,51.33,2500.0,177.47,4000.0,0
-124.66000000000001,8.2,1039,58.67,2500.0,183.33,5400.0,0
-124.66000000000001,8.95,1039,58.67,2500.0,183.33,5000.0,0
-124.66000000000001,9.7,1039,58.67,2500.0,183.33,4800.0,0
-124.66000000000001,10.45,1039,58.67,2500.0,183.33,4400.0,0
-124.66000000000001,11.2,1039,58.67,2500.0,183.33,4400.0,0
-124.66000000000001,11.95,1039,58.67,2500.0,183.33,4000.0,0
-124.66000000000001,12.7,1039,58.67,2500.0,183.33,4000.0,0
-124.66000000000001,13.45,1039,58.67,2500.0,183.33,4000.0,0
-124.66000000000001,14.2,1039,58.67,2500.0,183.33,4000.0,0
-121.72999999999999,8.2,1039,44.0,2500.0,165.73,5200.0,0
-121.72999999999999,8.95,1039,44.0,2500.0,165.73,5000.0,0
-121.72999999999999,9.7,1039,44.0,2500.0,165.73,4600.0,0
-121.72999999999999,10.45,1039,44.0,2500.0,165.73,4400.0,0
-121.72999999999999,11.2,1039,44.0,2500.0,165.73,4200.0,0
-121.72999999999999,11.95,1039,44.0,2500.0,165.73,4000.0,0
-121.72999999999999,12.7,1039,44.0,2500.0,165.73,4000.0,0
-121.72999999999999,13.45,1039,44.0,2500.0,165.73,4000.0,0
-121.72999999999999,14.2,1039,44.0,2500.0,165.73,4000.0,0
-120.27,8.2,1039,51.33,2500.0,171.6,5200.0,0
-120.27,8.95,1039,51.33,2500.0,171.6,4800.0,0
-120.27,9.7,1039,51.33,2500.0,171.6,4600.0,0
-120.27,10.45,1039,51.33,2500.0,171.6,4400.0,0
-120.27,11.2,1039,51.33,2500.0,171.6,4200.0,0
-120.27,11.95,1039,51.33,2500.0,171.6,4000.0,0
-120.27,12.7,1039,51.33,2500.0,171.6,4000.0,0
-120.27,13.45,1039,51.33,2500.0,171.6,4000.0,0
-120.27,14.2,1039,51.33,2500.0,171.6,4000.0,0
-118.8,8.2,1039,58.67,2500.0,177.47,5200.0,0
-118.8,8.95,1039,58.67,2500.0,177.47,4800.0,0
-118.8,9.7,1039,58.67,2500.0,177.47,4600.0,0
-118.8,10.45,1039,58.67,2500.0,177.47,4400.0,0
-118.8,11.2,1039,58.67,2500.0,177.47,4200.0,0
-118.8,11.95,1039,58.67,2500.0,177.47,4000.0,0
-118.8,12.7,1039,58.67,2500.0,177.47,4000.0,0
-118.8,13.45,1039,58.67,2500.0,177.47,4000.0,0
-118.8,14.2,1039,58.67,2500.0,177.47,4000.0,0
-117.33000000000001,8.2,1039,66.0,2500.0,183.33,5000.0,0
-117.33000000000001,8.95,1039,66.0,2500.0,183.33,4800.0,0
-117.33000000000001,9.7,1039,66.0,2500.0,183.33,4600.0,0
-117.33000000000001,10.45,1039,66.0,2500.0,183.33,4400.0,0
-117.33000000000001,11.2,1039,66.0,2500.0,183.33,4200.0,0
-117.33000000000001,11.95,1039,66.0,2500.0,183.33,4000.0,0
-117.33000000000001,12.7,1039,66.0,2500.0,183.33,4000.0,0
-117.33000000000001,13.45,1039,66.0,2500.0,183.33,4000.0,0
-117.33000000000001,14.2,1039,66.0,2500.0,183.33,4000.0,0
-115.87,8.2,1039,44.0,2500.0,159.87,5000.0,0
-115.87,8.95,1039,44.0,2500.0,159.87,4800.0,0
-115.87,9.7,1039,44.0,2500.0,159.87,4600.0,0
-115.87,10.45,1039,44.0,2500.0,159.87,4200.0,0
-115.87,11.2,1039,44.0,2500.0,159.87,4200.0,0
-115.87,11.95,1039,44.0,2500.0,159.87,4000.0,0
-115.87,12.7,1039,44.0,2500.0,159.87,4000.0,0
-115.87,13.45,1039,44.0,2500.0,159.87,4000.0,0
-115.87,14.2,1039,44.0,2500.0,159.87,4000.0,0
-114.39999999999999,8.2,1039,51.33,2500.0,165.73,5000.0,0
-114.39999999999999,8.95,1039,51.33,2500.0,165.73,4600.0,0
-114.39999999999999,9.7,1039,51.33,2500.0,165.73,4400.0,0
-114.39999999999999,10.45,1039,51.33,2500.0,165.73,4200.0,0
-114.39999999999999,11.2,1039,51.33,2500.0,165.73,4200.0,0
-114.39999999999999,11.95,1039,51.33,2500.0,165.73,4000.0,0
-114.39999999999999,12.7,1039,51.33,2500.0,165.73,4000.0,0
-114.39999999999999,13.45,1039,51.33,2500.0,165.73,4000.0,0
-114.39999999999999,14.2,1039,51.33,2500.0,165.73,4000.0,0
-112.92999999999999,8.2,1039,58.67,2500.0,171.6,5000.0,0
-112.92999999999999,8.95,1039,58.67,2500.0,171.6,4600.0,0
-112.92999999999999,9.7,1039,58.67,2500.0,171.6,4400.0,0
-112.92999999999999,10.45,1039,58.67,2500.0,171.6,4200.0,0
-112.92999999999999,11.2,1039,58.67,2500.0,171.6,4000.0,0
-112.92999999999999,11.95,1039,58.67,2500.0,171.6,4000.0,0
-112.92999999999999,12.7,1039,58.67,2500.0,171.6,4000.0,0
-112.92999999999999,13.45,1039,58.67,2500.0,171.6,4000.0,0
-112.92999999999999,14.2,1039,58.67,2500.0,171.6,4000.0,0
-111.47,8.2,1039,66.0,2500.0,177.47,5000.0,0
-111.47,8.95,1039,66.0,2500.0,177.47,4600.0,0
-111.47,9.7,1039,66.0,2500.0,177.47,4400.0,0
-111.47,10.45,1039,66.0,2500.0,177.47,4200.0,0
-111.47,11.2,1039,66.0,2500.0,177.47,4000.0,0
-111.47,11.95,1039,66.0,2500.0,177.47,4000.0,0
-111.47,12.7,1039,66.0,2500.0,177.47,4000.0,0
-111.47,13.45,1039,66.0,2500.0,177.47,4000.0,0
-111.47,14.2,1039,66.0,2500.0,177.47,4000.0,0
-110.00000000000001,8.2,1039,73.33,2500.0,183.33,4800.0,0
-110.00000000000001,8.95,1039,73.33,2500.0,183.33,4600.0,0
-110.00000000000001,9.7,1039,73.33,2500.0,183.33,4200.0,0
-110.00000000000001,10.45,1039,73.33,2500.0,183.33,4200.0,0
-110.00000000000001,11.2,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,11.95,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,12.7,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,13.45,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,14.2,1039,73.33,2500.0,183.33,4000.0,0
-110.0,8.2,1039,44.0,2500.0,154.0,5000.0,0
-110.0,8.95,1039,44.0,2500.0,154.0,4600.0,0
-110.0,9.7,1039,44.0,2500.0,154.0,4400.0,0
-110.0,10.45,1039,44.0,2500.0,154.0,4200.0,0
-110.0,11.2,1039,44.0,2500.0,154.0,4000.0,0
-110.0,11.95,1039,44.0,2500.0,154.0,4000.0,0
-110.0,12.7,1039,44.0,2500.0,154.0,4000.0,0
-110.0,13.45,1039,44.0,2500.0,154.0,4000.0,0
-110.0,14.2,1039,44.0,2500.0,154.0,4000.0,0
-108.54,8.2,1039,51.33,2500.0,159.87,4800.0,0
-108.54,8.95,1039,51.33,2500.0,159.87,4400.0,0
-108.54,9.7,1039,51.33,2500.0,159.87,4400.0,0
-108.54,10.45,1039,51.33,2500.0,159.87,4000.0,0
-108.54,11.2,1039,51.33,2500.0,159.87,4000.0,0
-108.54,11.95,1039,51.33,2500.0,159.87,4000.0,0
-108.54,12.7,1039,51.33,2500.0,159.87,4000.0,0
-108.54,13.45,1039,51.33,2500.0,159.87,4000.0,0
-108.54,14.2,1039,51.33,2500.0,159.87,4000.0,0
-107.05999999999999,8.2,1039,58.67,2500.0,165.73,4800.0,0
-107.05999999999999,8.95,1039,58.67,2500.0,165.73,4600.0,0
-107.05999999999999,9.7,1039,58.67,2500.0,165.73,4200.0,0
-107.05999999999999,10.45,1039,58.67,2500.0,165.73,4200.0,0
-107.05999999999999,11.2,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,11.95,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,12.7,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,13.45,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,14.2,1039,58.67,2500.0,165.73,4000.0,0
-105.6,8.2,1039,66.0,2500.0,171.6,4800.0,0
-105.6,8.95,1039,66.0,2500.0,171.6,4600.0,0
-105.6,9.7,1039,66.0,2500.0,171.6,4200.0,0
-105.6,10.45,1039,66.0,2500.0,171.6,4000.0,0
-105.6,11.2,1039,66.0,2500.0,171.6,4000.0,0
-105.6,11.95,1039,66.0,2500.0,171.6,4000.0,0
-105.6,12.7,1039,66.0,2500.0,171.6,4000.0,0
-105.6,13.45,1039,66.0,2500.0,171.6,4000.0,0
-105.6,14.2,1039,66.0,2500.0,171.6,4000.0,0
-104.14,8.2,1039,73.33,2500.0,177.47,4600.0,0
-104.14,8.95,1039,73.33,2500.0,177.47,4400.0,0
-104.14,9.7,1039,73.33,2500.0,177.47,4200.0,0
-104.14,10.45,1039,73.33,2500.0,177.47,4000.0,0
-104.14,11.2,1039,73.33,2500.0,177.47,4000.0,0
-104.14,11.95,1039,73.33,2500.0,177.47,4000.0,0
-104.14,12.7,1039,73.33,2500.0,177.47,4000.0,0
-104.14,13.45,1039,73.33,2500.0,177.47,4000.0,0
-104.14,14.2,1039,73.33,2500.0,177.47,4000.0,0
-102.67,8.2,1039,51.33,2500.0,154.0,4600.0,0
-102.67,8.95,1039,51.33,2500.0,154.0,4400.0,0
-102.67,9.7,1039,51.33,2500.0,154.0,4200.0,0
-102.67,10.45,1039,51.33,2500.0,154.0,4000.0,0
-102.67,11.2,1039,51.33,2500.0,154.0,4000.0,0
-102.67,11.95,1039,51.33,2500.0,154.0,4000.0,0
-102.67,12.7,1039,51.33,2500.0,154.0,4000.0,0
-102.67,13.45,1039,51.33,2500.0,154.0,4000.0,0
-102.67,14.2,1039,51.33,2500.0,154.0,4000.0,0
-101.2,8.2,1039,58.67,2500.0,159.87,4600.0,0
-101.2,8.95,1039,58.67,2500.0,159.87,4400.0,0
-101.2,9.7,1039,58.67,2500.0,159.87,4200.0,0
-101.2,10.45,1039,58.67,2500.0,159.87,4000.0,0
-101.2,11.2,1039,58.67,2500.0,159.87,4000.0,0
-101.2,11.95,1039,58.67,2500.0,159.87,4000.0,0
-101.2,12.7,1039,58.67,2500.0,159.87,4000.0,0
-101.2,13.45,1039,58.67,2500.0,159.87,4000.0,0
-101.2,14.2,1039,58.67,2500.0,159.87,4000.0,0
-99.72999999999999,8.2,1039,66.0,2500.0,165.73,4600.0,0
-99.72999999999999,8.95,1039,66.0,2500.0,165.73,4200.0,0
-99.72999999999999,9.7,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,10.45,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,11.2,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,11.95,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,12.7,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,13.45,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,14.2,1039,66.0,2500.0,165.73,4000.0,0
-98.27,8.2,1039,73.33,2500.0,171.6,4600.0,0
-98.27,8.95,1039,73.33,2500.0,171.6,4400.0,0
-98.27,9.7,1039,73.33,2500.0,171.6,4200.0,0
-98.27,10.45,1039,73.33,2500.0,171.6,4200.0,0
-98.27,11.2,1039,73.33,2500.0,171.6,4000.0,0
-98.27,11.95,1039,73.33,2500.0,171.6,4000.0,0
-98.27,12.7,1039,73.33,2500.0,171.6,4000.0,0
-98.27,13.45,1039,73.33,2500.0,171.6,4000.0,0
-98.27,14.2,1039,73.33,2500.0,171.6,4000.0,0
-95.33,8.2,1039,58.67,2500.0,154.0,4400.0,0
-95.33,8.95,1039,58.67,2500.0,154.0,4200.0,0
-95.33,9.7,1039,58.67,2500.0,154.0,4000.0,0
-95.33,10.45,1039,58.67,2500.0,154.0,4000.0,0
-95.33,11.2,1039,58.67,2500.0,154.0,4000.0,0
-95.33,11.95,1039,58.67,2500.0,154.0,4000.0,0
-95.33,12.7,1039,58.67,2500.0,154.0,4000.0,0
-95.33,13.45,1039,58.67,2500.0,154.0,4000.0,0
-95.33,14.2,1039,58.67,2500.0,154.0,4000.0,0
-93.87,8.2,1039,66.0,2500.0,159.87,4200.0,0
-93.87,8.95,1039,66.0,2500.0,159.87,4000.0,0
-93.87,9.7,1039,66.0,2500.0,159.87,4000.0,0
-93.87,10.45,1039,66.0,2500.0,159.87,4000.0,0
-93.87,11.2,1039,66.0,2500.0,159.87,4000.0,0
-93.87,11.95,1039,66.0,2500.0,159.87,4000.0,0
-93.87,12.7,1039,66.0,2500.0,159.87,4000.0,0
-93.87,13.45,1039,66.0,2500.0,159.87,4000.0,0
-93.87,14.2,1039,66.0,2500.0,159.87,4000.0,0
-92.39999999999999,8.2,1039,73.33,2500.0,165.73,4800.0,0
-92.39999999999999,8.95,1039,73.33,2500.0,165.73,4400.0,0
-92.39999999999999,9.7,1039,73.33,2500.0,165.73,4200.0,0
-92.39999999999999,10.45,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,11.2,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,11.95,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,12.7,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,13.45,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,14.2,1039,73.33,2500.0,165.73,4000.0,0
-88.0,8.2,1039,66.0,2500.0,154.0,4400.0,0
-88.0,8.95,1039,66.0,2500.0,154.0,4200.0,0
-88.0,9.7,1039,66.0,2500.0,154.0,4000.0,0
-88.0,10.45,1039,66.0,2500.0,154.0,4000.0,0
-88.0,11.2,1039,66.0,2500.0,154.0,4000.0,0
-88.0,11.95,1039,66.0,2500.0,154.0,4000.0,0
-88.0,12.7,1039,66.0,2500.0,154.0,4000.0,0
-88.0,13.45,1039,66.0,2500.0,154.0,4000.0,0
-88.0,14.2,1039,66.0,2500.0,154.0,4000.0,0
-86.54,8.2,1039,73.33,2500.0,159.87,4800.0,0
-86.54,8.95,1039,73.33,2500.0,159.87,4600.0,0
-86.54,9.7,1039,73.33,2500.0,159.87,4400.0,0
-86.54,10.45,1039,73.33,2500.0,159.87,4200.0,0
-86.54,11.2,1039,73.33,2500.0,159.87,4000.0,0
-86.54,11.95,1039,73.33,2500.0,159.87,4000.0,0
-86.54,12.7,1039,73.33,2500.0,159.87,4000.0,0
-86.54,13.45,1039,73.33,2500.0,159.87,4000.0,0
-86.54,14.2,1039,73.33,2500.0,159.87,4000.0,0
-80.67,8.2,1039,73.33,2500.0,154.0,4800.0,0
-80.67,8.95,1039,73.33,2500.0,154.0,4600.0,0
-80.67,9.7,1039,73.33,2500.0,154.0,4400.0,0
-80.67,10.45,1039,73.33,2500.0,154.0,4400.0,0
-80.67,11.2,1039,73.33,2500.0,154.0,4200.0,0
-80.67,11.95,1039,73.33,2500.0,154.0,4000.0,0
-80.67,12.7,1039,73.33,2500.0,154.0,4000.0,0
-80.67,13.45,1039,73.33,2500.0,154.0,4000.0,0
-80.67,14.2,1039,73.33,2500.0,154.0,4000.0,0
