step,contactLevel,scenario,bounds_x,drone_ascent_rate,drone_direction,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,4500.0,100.000200606,1514.1667934085822
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.2512171106657
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,4500.0,100.000200606,1507.6868687743347
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,6000.0,100.000200606,206.43801557502982
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,7500.0,100.000200606,1517.3439951094094
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,7500.0,100.000200606,1508.8571616539975
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,4500.0,112.50022568175,1511.053393282261
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,4500.0,112.50022568175,1513.8592537569127
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,4500.0,112.50022568175,1512.4472401622993
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,6000.0,112.50022568175,220.43927835700507
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,7500.0,112.50022568175,1512.2272756957934
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,7500.0,112.50022568175,1515.17752079738
1031,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,7500.0,112.50022568175,1515.0245985707807
928,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,4500.0,125.0002507575,1507.6844721893992
928,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,4500.0,125.0002507575,1510.2209937198359
928,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,4500.0,125.0002507575,1513.0319897046961
928,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,6000.0,125.0002507575,186.9020308842441
928,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,6000.0,125.0002507575,209.633429384426
928,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,6000.0,125.0002507575,241.9193691015326
928,violation,overtaking,17000.0,8.0,0.0,3000.0,30.0000601818,10000.0,7500.0,125.0002507575,1509.5455036482883
928,violation,overtaking,17000.0,8.0,0.0,3000.0,40.000080242399996,10000.0,7500.0,125.0002507575,1511.2638796998112
928,violation,overtaking,17000.0,8.0,0.0,3000.0,50.000100303,10000.0,7500.0,125.0002507575,1515.421869612305
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,4500.0,100.000200606,1517.3434066027664
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,7500.0,100.000200606,1517.3434066027664
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,4500.0,112.50022568175,1517.5262526527272
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,7500.0,112.50022568175,1517.5262526527272
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,4500.0,125.0002507575,1513.8566104841582
928,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,4500.0,125.0002507575,1517.0900169042848
928,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,6000.0,125.0002507575,238.56692056035962
928,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,violation,overtaking,17000.0,8.0,0.0,3700.0,30.0000601818,10000.0,7500.0,125.0002507575,1513.8566104841582
928,violation,overtaking,17000.0,8.0,0.0,3700.0,40.000080242399996,10000.0,7500.0,125.0002507575,1517.0900169042848
928,violation,overtaking,17000.0,8.0,0.0,3700.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.2544885739633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.2544885739633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.768720235023
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.768720235023
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,7200.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,7200.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,7200.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,7200.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,7200.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,7200.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,7200.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,7200.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,7200.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,7200.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,7200.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,7200.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
